period,cluster,MedianPriceAsked
2012-07,Cluster 8,335087.72
2012-08,Cluster 8,335087.72
2012-09,Cluster 8,335087.72
2012-10,Cluster 8,335087.72
2012-11,Cluster 8,335087.72
2012-12,Cluster 8,335087.72
2013-01,Cluster 8,417857.14
2013-02,Cluster 8,417857.14
2013-03,Cluster 8,417857.14
2013-04,Cluster 8,417857.14
2013-05,Cluster 8,417857.14
2013-06,Cluster 8,417857.14
2013-07,Cluster 8,417857.14
2013-08,Cluster 8,417857.14
2013-09,Cluster 8,417857.14
2013-10,Cluster 8,417857.14
2013-11,Cluster 8,417857.14
2013-12,Cluster 8,417857.14
2014-01,Cluster 8,397701.15
2014-02,Cluster 8,397701.15
2014-03,Cluster 8,397701.15
2014-04,Cluster 8,397701.15
2014-05,Cluster 8,397701.15
2014-06,Cluster 8,397701.15
2014-07,Cluster 8,397701.15
2014-08,Cluster 8,397701.15
2014-09,Cluster 8,397701.15
2014-10,Cluster 8,397701.15
2014-11,Cluster 8,397701.15
2014-12,Cluster 8,397701.15
2015-01,Cluster 8,401333.33
2015-02,Cluster 8,401333.33
2015-03,Cluster 8,401333.33
2015-04,Cluster 8,401333.33
2015-05,Cluster 8,401333.33
2015-06,Cluster 8,401333.33
2015-07,Cluster 8,401333.33
2015-08,Cluster 8,401333.33
2015-09,Cluster 8,401333.33
2015-10,Cluster 8,401333.33
2015-11,Cluster 8,401333.33
2015-12,Cluster 8,401333.33
2011-01,Cluster 9,283190.71
2011-02,Cluster 9,283190.71
2011-03,Cluster 9,283190.71
2011-04,Cluster 9,283190.71
2011-05,Cluster 9,283190.71
2011-06,Cluster 9,283190.71
2011-07,Cluster 9,283190.71
2011-08,Cluster 9,283190.71
2011-09,Cluster 9,283190.71
2011-10,Cluster 9,283190.71
2011-11,Cluster 9,283190.71
2011-12,Cluster 9,283190.71
2012-01,Cluster 9,274113.27
2012-02,Cluster 9,274113.27
2012-03,Cluster 9,274113.27
2012-04,Cluster 9,274113.27
2012-05,Cluster 9,274113.27
2012-06,Cluster 9,274113.27
2012-07,Cluster 9,274113.27
2012-08,Cluster 9,274113.27
2012-09,Cluster 9,274113.27
2012-10,Cluster 9,274113.27
2012-11,Cluster 9,274113.27
2012-12,Cluster 9,274113.27
2013-01,Cluster 9,247492.5
2013-02,Cluster 9,247492.5
2013-03,Cluster 9,247492.5
2013-04,Cluster 9,247492.5
2013-05,Cluster 9,247492.5
2013-06,Cluster 9,247492.5
2013-07,Cluster 9,247492.5
2013-08,Cluster 9,247492.5
2013-09,Cluster 9,247492.5
2013-10,Cluster 9,247492.5
2013-11,Cluster 9,247492.5
2013-12,Cluster 9,247492.5
2014-01,Cluster 9,272596.09
2014-02,Cluster 9,272596.09
2014-03,Cluster 9,272596.09
2014-04,Cluster 9,272596.09
2014-05,Cluster 9,272596.09
2014-06,Cluster 9,272596.09
2014-07,Cluster 9,272596.09
2014-08,Cluster 9,272596.09
2014-09,Cluster 9,272596.09
2014-10,Cluster 9,272596.09
2014-11,Cluster 9,272596.09
2014-12,Cluster 9,272596.09
2015-01,Cluster 9,250000
2015-02,Cluster 9,250000
2015-03,Cluster 9,250000
2015-04,Cluster 9,250000
2015-05,Cluster 9,250000
2015-06,Cluster 9,250000
2015-07,Cluster 9,250000
2015-08,Cluster 9,250000
2015-09,Cluster 9,250000
2015-10,Cluster 9,250000
2015-11,Cluster 9,250000
2015-12,Cluster 9,250000
